Author	Title	Year	Language	Publisher	Place	Country	URL
???	Mittheilungen aus Baiern über das Malzen, Brauen u. Gähren in Nürnberg.	1839	TODO: Language?	TODO: Publisher?	Nürnberg	Germany	https://play.google.com/books/reader?id=7jg7AAAAcAAJ
???	Wie brauet man gutes Bayerisch-Weiß- und Lagerbier? Wie Ale (Oehl), oder Englisch-Bier? Wie bereitet man guten Essig? Im Kleinen (für den Hausbedarf), und im Großen (bei Essigsiedereyen).	1820	TODO: Language?	TODO: Publisher?	Grätz	Germany	https://play.google.com/books/reader?id=ZzMAcH_ZZSkC
Joseph Serviere	Der theoretische und praktische Kellermeister oder Die Erkennung, Erzeugung, Behandlung und Erhaltung aller trinkbaren Flüssigkeiten; nebst einer neuen Theorie über Branntweinbrennerey, Bier- und Essig-Brauerey.	1811	TODO: Language?	TODO: Publisher?	Frankfurt am Mayn	Germany	https://play.google.com/books/reader?id=J-wNtCnpLU0C
Joseph Serviere	Der Scheidekünstler im Brau- und Brennhause. Ein nützliches Handbuch für Bierbrauer, Essigbrauer, Branntweinbrauer und Oekonomen.	1816	TODO: Language?	TODO: Publisher?	Frankfurt am Main	Germany	https://play.google.com/books/reader?id=wGM7AAAAcAAJ
Friedrich Meyer	Die bayerische Bierbrauerei in allen ihren Theilen und wie solche in den vorzüglichsten Bierbrauerein im Königreiche Bayern dermalen betrieben wird; dann die Branntweinbrennerei u. Essigfabrikation, soweit solche mit der Bierbrauerei verbunden erscheinen, so wie das Nöthige über den Hopfen und den Hopfenbau.	1847	TODO: Language?	TODO: Publisher?	Nürnberg	Germany	https://play.google.com/books/reader?id=9_pAAQAAMAAJ
Marius Wölfer	Das Ganze der Bierbrauerei nach ihrem jetzigen Standpunkte, nebst den dazu erforderlichen Brauhäusern und Felsenkellern.	1841	TODO: Language?	TODO: Publisher?	Quedlinburg und Leipzig	Germany	https://play.google.com/books/reader?id=6fVHtmFK2icC
Friedrich Meyer	Die bayerische Bierbrauerei wie solche in den vorzüglichsten Brauereien in Bayern dermalen betrieben wird, dann die Branntweinbrennerei und Essigfabrikation, soweit solche mit der Bierbrauerei verbunden erscheinen, so wie das Nöthige über den Hopfen und Hopfenbau.	1839	TODO: Language?	TODO: Publisher?	Ansbach	Germany	https://play.google.com/books/reader?id=kSNBAAAAcAAJ
Friedrich Meyer	Die bayerische Bierbrauerei oder die Brauerei der braunen Biere und des weißen Gerstenbieres, wie solche inden vorzüglichsten Brauereien in Bayern dermalen betrieben wird, dann die mit der Bierbrauerei verbundene Brantweinbrauerei, Fruchtessigsiederei und das einem Brauer Nöthige über den Hopfen und den Hopfenbau.	1839	TODO: Language?	TODO: Publisher?	Ansbach	Germany	https://play.google.com/books/reader?id=lf9CAAAAcAAJ
Josef Serviere	Das Ganze der Bierbrauerei und Bierkellerei-Wirthschaft. Nebst einem Anhange über Branntweinbrennerei und Essigfabrikation, in so weit sich beide bei einer großen Landwirthschaft an die Bierbrauerei anschließen.	1826	TODO: Language?	TODO: Publisher?	Ilmenau	Germany	https://play.google.com/books/reader?id=TWxzu8pW8EsC
Friedrich Meyer	Die Bayerische Bierbrauerei. wie solche in den vorzüglichsten Brauereien in Bayern dermalen betrieben wird, dann die mit der Bierbrauerei verbundene Brantwein-Brennerei, Fruchtessig-Siederei und das einem Brauer Nöthige über den Hopfen und den Hopfenbau.	1832	TODO: Language?	TODO: Publisher?	Ansbach	Germany	https://play.google.com/books/reader?id=jSNBAAAAcAAJ
